,"Survival probability after discard for each species, sizeclass for each fleet",,,,
,"Bottom Trawl (BT), Pelagic (PT), Fixed Gear(FG)",,,,
,,,,,
,sizeclass1,sizeclass2,sizeclass3,sizeclass4,sizeclass5
spinydogBT,0.7,0.7,0.7,0.7,0.7
spinydogPT,1,1,1,1,1
spinydogFG,0.8,0.8,0.8,0.8,0.8
winterskateBT,0.9,0.9,0.9,0.9,0.9
winterskatePT,1,1,1,1,1
winterskateFG,0.95,0.95,0.95,0.95,0.95
AherringBT,1,1,1,1,1
AherringPT,1,1,1,1,1
AherringFG,1,1,1,1,1
AcodBT,1,1,1,1,1
AcodPT,1,1,1,1,1
AcodFG,1,1,1,1,1
haddockBT,1,1,1,1,1
haddockPT,1,1,1,1,1
haddockFG,1,1,1,1,1
yellowtailflBT,1,1,1,1,1
yellowtailflPT,1,1,1,1,1
yellowtailflFG,1,1,1,1,1
winterflBT,1,1,1,1,1
winterflPT,1,1,1,1,1
winterflFG,1,1,1,1,1
AmackerelBT,1,1,1,1,1
AmackerelPT,1,1,1,1,1
AmackerelFG,1,1,1,1,1
silverhakeBT,1,1,1,1,1
silverhakePT,1,1,1,1,1
silverhakeFG,1,1,1,1,1
goosefishBT,1,1,1,1,1
goosefishPT,1,1,1,1,1
goosefishFG,1,1,1,1,1
