,Aherring,Acod,silverhake
1964,0,10853,45543
1965,0,14731,39688
1966,0,23486,79002
1967,0,27189,73924
1968,173640,25165,94462
1969,94601,38333,45279
1970,185200,53134,47808
1971,275764,36752,33371
1972,445656,43136,41378.94
1973,371155,37939,24054.96
1974,306423,25652,27527.97
1975,333692,28179,36398.22
1976,248526,25059,25223.95
1977,254500,28923,32090.95
1978,210502,27331,20682
1979,202643,25008,39874
1980,115338,19926,13634
1981,83612,27367,12457
1982,72732,35751,12609
1983,81048,39264,3415
1984,99445,48771,4730
1985,85622,47649,7054
1986,44447,61172,7569
1987,33230,53473,7954
1988,46660,39836,10880
1989,33352,42422,10859
1990,40220,26927,10856
1991,49957,32191,7765
1992,53617,42044,8574
1993,55843,34472,6963
1994,55407,44592,8335
1995,80435,39214,7311
1996,92749,30454,6730
1997,76881,24794,5050
1998,63700,15855,4140
1999,106185,9102,3224
2000,117419,9743,4443
2001,124099,11807,3045
2002,108623,9884,2738
2003,110853,10998,4190
2004,109141,9770,2952
2005,120575,14023,3868
2006,93222,11386,3106
2007,102472,9054,2006
2008,94724,5415,1165
2009,93738,4895,890
2010,104001,4788,941
2011,81519,6588,1764
2012,84681,5297,788
2013,103556,5100,1232
2014,68454,4159,1123
2015,81104,4159,1169.6
2016,81104,4159,1215.32
