,Aherring,Acod,silverhake
1964,2.99E+06,2.78E+06,5000000
1965,2.60E+06,2.76E+06,5264460
1966,2.99E+06,7.80E+05,5000000
1967,2.60E+06,2.76E+06,5264460
1968,2.14E+06,2.83E+06,5027540
1969,1.70E+06,3.12E+06,4480820
1970,1.32E+06,3.60E+06,3926235
1971,1.02E+06,3.79E+06,3448180
1972,7.97E+05,3.67E+06,3041910
1973,6.69E+05,3.55E+06,2667910
1974,5.42E+05,3.39E+06,2452015
1975,4.74E+05,3.22E+06,2097655
1976,4.49E+05,3.07E+06,1796295
1977,4.94E+05,2.91E+06,1544535
1978,397879.1304,2737093.239,1298900
1979,340716.2376,2562230.292,1030890
1980,668887.0067,2422916.681,1465390
1981,1043678.761,2248162.082,1955675
1982,1353107.697,2076421.787,2325605
1983,1528923.948,1934455.033,2452155
1984,1662839.113,1809640.639,2443455
1985,2168901.571,1682423.136,2379600
1986,2146757.576,1565607.065,2237180
1987,2110259.217,1472716.507,2093985
1988,2066905.624,1384334.903,1851325
1989,1997122.391,1304268.332,1644920
1990,1918926.596,1208027.313,1433840
1991,1844719.955,1118064.936,1264085
1992,1774274.858,1049797.21,1167880
1993,1854537.106,1021879.48,1107045
1994,1770558.237,996187.0565,1068050
1995,1704440.713,969111.1091,1035855
1996,2202171.471,964196.5441,1021370
1997,2420113.423,951633.7046,1004030
1998,2192195.592,933072.8176,980235
1999,2768020.319,923235.353,981910
2000,2431448.968,902985.3448,967180
2001,2208835.034,898395.8245,986035
2002,1989203.981,904571.6742,989970
2003,2273224.524,922382.4579,1051535
2004,2071026.551,951800.3942,1112725
2005,1827409.665,991600.3143,1179575
2006,2549296.709,1033636.653,1248480
2007,2640433.293,1077381.561,1314330
2008,2173768.218,1094595.04,1415845
2009,1805002.122,1123754.607,1477605
2010,1732532.5,1158401.041,1519510
2011,1456583.104,1212525.154,1621495
2012,1298397.594,1254172.55,1702530
2013,1354090.011,1280904.006,1769795
2014,1218542.647,1297075.675,1794900
2015,1132961.528,1323815.465,1838910
2016,1077122.363,1340320.514,1904070
